Purchase Order #,Distribution Center ID,Distribution Center,Date Marked as Shipped,Amount Paid to Vendor,invoice number
9870843248958,620962,K And N Engineering Inc - Riverside CA,20220326,30.63,8088353-01
9870840024314,620962,K And N Engineering Inc - Riverside CA,20220326,12.76,8088027-01
9870830498738,620962,K And N Engineering Inc - Riverside CA,20220326,47.65,8087069-01
8870829025886,620962,K And N Engineering Inc - Riverside CA,20220326,10.82,8086295-01
6870745524040,620962,K And N Engineering Inc - Riverside CA,20220326,13.85,8077080-01
9870854417256,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8088987-01
8870827604643,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8085932-01
9870841325266,620962,K And N Engineering Inc - Riverside CA,20220326,24.14,8088045-01
8870790569713,620962,K And N Engineering Inc - Riverside CA,20220326,2.89,8082673-01
8870792131970,620962,K And N Engineering Inc - Riverside CA,20220326,2.89,8083406-01
9870830156666,620962,K And N Engineering Inc - Riverside CA,20220326,10.27,8086933-01
8870804604446,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8083990-01
8870780258310,620962,K And N Engineering Inc - Riverside CA,20220326,50.46,8082383-01
7870788716148,620962,K And N Engineering Inc - Riverside CA,20220326,89.35,8081710-01
9870854748593,620962,K And N Engineering Inc - Riverside CA,20220326,30.63,8089131-01
8870792391040,620962,K And N Engineering Inc - Riverside CA,20220326,5.01,8083331-01
8870791985362,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8083173-01
9870830604411,620962,K And N Engineering Inc - Riverside CA,20220326,4.28,8087095-01
8870829647967,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8086700-01
8870790864312,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8082762-01
8870790765843,620962,K And N Engineering Inc - Riverside CA,20220326,32.51,8082788-01
7870788845359,620962,K And N Engineering Inc - Riverside CA,20220326,33.18,8082140-01
8870791640545,620962,K And N Engineering Inc - Riverside CA,20220326,39.82,8082973-01
8870815829574,620962,K And N Engineering Inc - Riverside CA,20220326,3.95,8084531-01
9870854281273,620962,K And N Engineering Inc - Riverside CA,20220326,33.68,8089042-01
8870816520917,620962,K And N Engineering Inc - Riverside CA,20220326,36.76,8084901-01
9870855614817,620962,K And N Engineering Inc - Riverside CA,20220326,33.02,8089454-01
9870854604376,620962,K And N Engineering Inc - Riverside CA,20220326,289.52,8089054-01
8870817166613,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8085277-01
8870790956773,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8082795-01
9870854947549,620962,K And N Engineering Inc - Riverside CA,20220326,34.69,8089220-01
8870802837138,620962,K And N Engineering Inc - Riverside CA,20220326,2.46,8083531-01
8870828226932,620962,K And N Engineering Inc - Riverside CA,20220326,44.16,8085908-01
8870790981216,620962,K And N Engineering Inc - Riverside CA,20220326,3.16,8082810-01
8870817349207,620962,K And N Engineering Inc - Riverside CA,20220326,6.12,8085366-01
9870844059059,620962,K And N Engineering Inc - Riverside CA,20220326,6.06,8088762-01
8870792509873,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8083433-01
8870829750886,620962,K And N Engineering Inc - Riverside CA,20220326,27.26,8086702-01
9870830253739,620962,K And N Engineering Inc - Riverside CA,20220326,12.76,8087105-01
9870842255455,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8088082-01
8870817675724,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8085664-01
9870844164420,620962,K And N Engineering Inc - Riverside CA,20220326,31.53,8088799-01
7870788974155,620962,K And N Engineering Inc - Riverside CA,20220326,5.24,8081791-01
8870805102495,620962,K And N Engineering Inc - Riverside CA,20220326,10.68,8084128-01
9870854720822,620962,K And N Engineering Inc - Riverside CA,20220326,6.32,8089135-01
9870831049544,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8087614-01
9870844197226,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8088881-01
9870832108391,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8087866-01
9870831479317,620962,K And N Engineering Inc - Riverside CA,20220326,34.07,8087576-01
9870855920458,620962,K And N Engineering Inc - Riverside CA,20220326,241.27,8089530-01
9870832218513,620962,K And N Engineering Inc - Riverside CA,20220326,5.88,8087933-01
7870775893552,620962,K And N Engineering Inc - Riverside CA,20220326,39.82,8081428-01
9870843580822,620962,K And N Engineering Inc - Riverside CA,20220326,32.56,8088537-01
8870791606830,620962,K And N Engineering Inc - Riverside CA,20220326,3.95,8083319-01
8870829542024,620962,K And N Engineering Inc - Riverside CA,20220326,2.99,8086485-01
7870765403711,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8080258-01
9870854704788,620962,K And N Engineering Inc - Riverside CA,20220326,6.06,8089128-01
9870854999395,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8089209-01
9870842537030,620962,K And N Engineering Inc - Riverside CA,20220326,6.46,8088083-01
8870805335622,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8084255-01
9870854506665,620962,K And N Engineering Inc - Riverside CA,20220326,20.42,8089016-01
9870842244824,620962,K And N Engineering Inc - Riverside CA,20220326,11.36,8087958-01
8870817659094,620962,K And N Engineering Inc - Riverside CA,20220326,40.84,8085581-01
8870827604452,620962,K And N Engineering Inc - Riverside CA,20220326,32.56,8085929-01
8870815860501,620962,K And N Engineering Inc - Riverside CA,20220326,3.23,8084464-01
8870802875251,620962,K And N Engineering Inc - Riverside CA,20220326,11.1,8083542-01
8870815795160,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8084454-01
7870776417339,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8080647-01
9870843399356,620962,K And N Engineering Inc - Riverside CA,20220326,67.4,8088456-01
9870854064936,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8089657-01
8870817217693,620962,K And N Engineering Inc - Riverside CA,20220326,3.56,8085347-01
8870817033738,620962,K And N Engineering Inc - Riverside CA,20220326,40.84,8085235-01
8870792311029,620962,K And N Engineering Inc - Riverside CA,20220326,36.76,8083371-01
8870815953540,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8084538-01
8870828334035,620962,K And N Engineering Inc - Riverside CA,20220326,7.02,8085914-01
8870829487159,620962,K And N Engineering Inc - Riverside CA,20220326,10.02,8086524-01
9870856053962,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8089647-01
8870780224532,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8082371-01
9870855577254,620962,K And N Engineering Inc - Riverside CA,20220326,4.46,8089398-01
8870803552348,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8083680-01
9870831687739,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8087694-01
9870854695863,620962,K And N Engineering Inc - Riverside CA,20220326,6.32,8089156-01
8870816377258,620962,K And N Engineering Inc - Riverside CA,20220326,39.82,8084830-01
8870829252813,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8086358-01
8870790649586,620962,K And N Engineering Inc - Riverside CA,20220326,5.24,8082799-01
8870812411268,620962,K And N Engineering Inc - Riverside CA,20220326,6.12,8084485-01
8870803414273,620962,K And N Engineering Inc - Riverside CA,20220326,39.42,8083662-01
8870792496709,620962,K And N Engineering Inc - Riverside CA,20220326,34.83,8083374-01
8870804135689,620962,K And N Engineering Inc - Riverside CA,20220326,40.84,8083814-01
8870791087394,620962,K And N Engineering Inc - Riverside CA,20220326,4.85,8082941-01
7870788522514,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8081617-01
9870830727961,620962,K And N Engineering Inc - Riverside CA,20220326,27.57,8087225-01
8870817053375,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8085236-01
8870790717748,620962,K And N Engineering Inc - Riverside CA,20220326,31.3,8082805-01
9870854275879,620962,K And N Engineering Inc - Riverside CA,20220326,33.02,8089053-01
8870815515922,620962,K And N Engineering Inc - Riverside CA,20220326,7.02,8084367-01
8870829644510,620962,K And N Engineering Inc - Riverside CA,20220326,111.16,8086570-01
8870816662895,620962,K And N Engineering Inc - Riverside CA,20220326,5.39,8084984-01
8870827999681,620962,K And N Engineering Inc - Riverside CA,20220326,38.5,8085828-01
8870827921887,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8085816-01
8870827073849,620962,K And N Engineering Inc - Riverside CA,20220326,82.72,8085848-01
8870815630954,620962,K And N Engineering Inc - Riverside CA,20220326,36.76,8084347-01
9870856320588,620962,K And N Engineering Inc - Riverside CA,20220326,44.2,8089722---2
7870766153211,620962,K And N Engineering Inc - Riverside CA,20220326,18.06,8080491-01
8870816324151,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8084781-01
8870805299196,620962,K And N Engineering Inc - Riverside CA,20220326,39.82,8084222-01
7870776563986,620962,K And N Engineering Inc - Riverside CA,20220326,5.78,8080703-01
8870791696173,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8082996-01
8870791389976,620962,K And N Engineering Inc - Riverside CA,20220326,57.43,8082942-01
9870831149386,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8087407-01
8870804277075,620962,K And N Engineering Inc - Riverside CA,20220326,6.63,8083842-01
9870843191373,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8088335-01
8870790749692,620962,K And N Engineering Inc - Riverside CA,20220326,63.87,8082770-01
8870790805673,620962,K And N Engineering Inc - Riverside CA,20220326,12.04,8082787-01
8870815590762,620962,K And N Engineering Inc - Riverside CA,20220326,5.9,8084709-01
8870816148853,620962,K And N Engineering Inc - Riverside CA,20220326,10.02,8084715-01
8870790601026,620962,K And N Engineering Inc - Riverside CA,20220326,6.71,8082665-01
8870813405694,620962,K And N Engineering Inc - Riverside CA,20220326,3.48,8085412-01
8870817724225,620962,K And N Engineering Inc - Riverside CA,20220326,5.72,8085513-01
8870805468838,620962,K And N Engineering Inc - Riverside CA,20220326,7.02,8084273-01
9870843926384,620962,K And N Engineering Inc - Riverside CA,20220326,31.3,8088891-01
9870831682129,620962,K And N Engineering Inc - Riverside CA,20220326,3.96,8087597-01
8870790607768,620962,K And N Engineering Inc - Riverside CA,20220326,36.23,8082696-01
8870828967150,620962,K And N Engineering Inc - Riverside CA,20220326,7.02,8086610-01
8870817328525,620962,K And N Engineering Inc - Riverside CA,20220326,39.82,8085434-01
9870831259574,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8087503-01
9870854554499,620962,K And N Engineering Inc - Riverside CA,20220326,32.71,8089019-01
8870828907897,620962,K And N Engineering Inc - Riverside CA,20220326,241.27,8086241-01
9870854799460,620962,K And N Engineering Inc - Riverside CA,20220326,22.97,8089158-01
8870814411359,620962,K And N Engineering Inc - Riverside CA,20220326,12.04,8084525-01
8870816187740,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8084780-01
9870854605103,620962,K And N Engineering Inc - Riverside CA,20220326,5.39,8089106-01
9870854731114,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8089148-01
9870830053736,620962,K And N Engineering Inc - Riverside CA,20220326,32.95,8086932-01
9870820008182,620962,K And N Engineering Inc - Riverside CA,20220326,18.06,8086832-01
7870789868887,620962,K And N Engineering Inc - Riverside CA,20220326,6.71,8082536-01
8870803965768,620962,K And N Engineering Inc - Riverside CA,20220326,3.59,8083765-01
8870790698175,620962,K And N Engineering Inc - Riverside CA,20220326,5.78,8082658-01
8870803095920,620962,K And N Engineering Inc - Riverside CA,20220326,7.02,8083628-01
9870843543233,620962,K And N Engineering Inc - Riverside CA,20220326,27.26,8088536-01
9870841189311,620962,K And N Engineering Inc - Riverside CA,20220326,3.48,8088073-01
7870777654834,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8081125-01
9870830181554,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8086976-01
8870839601612,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8087317-01
8870780084507,620962,K And N Engineering Inc - Riverside CA,20220326,6.71,8082298-01
8870790641218,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8082689-01
7870798751195,620962,K And N Engineering Inc - Riverside CA,20220326,241.27,8082794-01
9870854418922,620962,K And N Engineering Inc - Riverside CA,20220326,27.57,8088980-01
8870817740583,620962,K And N Engineering Inc - Riverside CA,20220326,39.42,8085656-01
9870842398657,620962,K And N Engineering Inc - Riverside CA,20220326,39.82,8088008-01
8870791045180,620962,K And N Engineering Inc - Riverside CA,20220326,4,8082824-01
9870855922359,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8089531-01
7870764562105,620962,K And N Engineering Inc - Riverside CA,20220326,6.71,8079596-01
9870856109880,620962,K And N Engineering Inc - Riverside CA,20220326,5.01,8089658-01
9870830384508,620962,K And N Engineering Inc - Riverside CA,20220326,310.21,8087026-01
8870805155839,620962,K And N Engineering Inc - Riverside CA,20220326,2.89,8084189-01
8870838190496,620962,K And N Engineering Inc - Riverside CA,20220326,45.95,8087033-01
8870817531181,620962,K And N Engineering Inc - Riverside CA,20220326,25.59,8085470-01
9870854705322,620962,K And N Engineering Inc - Riverside CA,20220326,31.82,8089147-01
9870843948530,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8088660-01
9870854879485,620962,K And N Engineering Inc - Riverside CA,20220326,9.99,8089189-01
8870792518500,620962,K And N Engineering Inc - Riverside CA,20220326,32.84,8083390-01
9870843513083,620962,K And N Engineering Inc - Riverside CA,20220326,3.79,8088495-01
8870792563096,620962,K And N Engineering Inc - Riverside CA,20220326,3.08,8083408-01
8870791043662,620962,K And N Engineering Inc - Riverside CA,20220326,274.55,8082857-01
9870854796986,620962,K And N Engineering Inc - Riverside CA,20220326,6.95,8089160-01
9870832104922,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8087888-01
8870815910601,620962,K And N Engineering Inc - Riverside CA,20220326,42.89,8084486-01
7870788541782,620962,K And N Engineering Inc - Riverside CA,20220326,36.76,8081705-01
9870855315162,620962,K And N Engineering Inc - Riverside CA,20220326,3.16,8089312-01
9870844164419,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8088798-01
7870777572397,620962,K And N Engineering Inc - Riverside CA,20220326,7.18,8081078-01
8870828002306,620962,K And N Engineering Inc - Riverside CA,20220326,13.1,8085777-01
9870854624767,620962,K And N Engineering Inc - Riverside CA,20220326,7.02,8089080-01
9870841189883,620962,K And N Engineering Inc - Riverside CA,20220326,3.23,8088096-01
9870853395408,620962,K And N Engineering Inc - Riverside CA,20220326,3.48,8089139-01
8870815795159,620962,K And N Engineering Inc - Riverside CA,20220326,31.53,8084453-01
8870804370659,620962,K And N Engineering Inc - Riverside CA,20220326,5.68,8083843-01
8870791027113,620962,K And N Engineering Inc - Riverside CA,20220326,30.63,8082818-01
8870828077041,620962,K And N Engineering Inc - Riverside CA,20220326,2.89,8085837-01
8870790958678,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8082796-01
