Purchase Order #,Distribution Center ID,Distribution Center,Date Marked as Shipped,Amount Paid to Vendor,invoice number
9870854874514,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8089173-01
8870805050158,620962,K And N Engineering Inc - Riverside CA,20220326,39.42,8084093-01
9870831392332,620962,K And N Engineering Inc - Riverside CA,20220326,32.7,8087464-01
9870842537031,620962,K And N Engineering Inc - Riverside CA,20220326,5.78,8088084-01
9870831384992,620962,K And N Engineering Inc - Riverside CA,20220326,241.27,8087525-01
9870831635014,620962,K And N Engineering Inc - Riverside CA,20220326,10.27,8087616-01
8870815946911,620962,K And N Engineering Inc - Riverside CA,20220326,33.36,8084514-01
8870812088263,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8084409-01
8870828254437,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8085901-01
8870815897511,620962,K And N Engineering Inc - Riverside CA,20220326,5.24,8084521-01
8870792456959,620962,K And N Engineering Inc - Riverside CA,20220326,2.36,8083373-01
9870830047128,620962,K And N Engineering Inc - Riverside CA,20220326,3.56,8086885-01
8870790863823,620962,K And N Engineering Inc - Riverside CA,20220326,5.68,8083359-01
9870844432197,620962,K And N Engineering Inc - Riverside CA,20220326,2.89,8088957-01
8870829237777,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8086408-01
8870780344076,620962,K And N Engineering Inc - Riverside CA,20220326,9.68,8082395-01
9870856300782,620962,K And N Engineering Inc - Riverside CA,20220326,25.59,8089759-01
8870790910299,620962,K And N Engineering Inc - Riverside CA,20220326,3.97,8082778-01
9870843815667,620962,K And N Engineering Inc - Riverside CA,20220326,1.98,8088796-01
8870803972609,620962,K And N Engineering Inc - Riverside CA,20220326,10.48,8084199-01
9870841842922,620962,K And N Engineering Inc - Riverside CA,20220326,241.27,8088099-01
7870826322848,620962,K And N Engineering Inc - Riverside CA,20220326,6.71,8086228-02
9870830698053,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8087158-01
8870828926511,620962,K And N Engineering Inc - Riverside CA,20220326,42.88,8086194-01
8870815615358,620962,K And N Engineering Inc - Riverside CA,20220326,39.1,8084377-01
9870842675579,620962,K And N Engineering Inc - Riverside CA,20220326,10.77,8088149-01
8870817780400,620962,K And N Engineering Inc - Riverside CA,20220326,6.96,8085658-01
8870804250214,620962,K And N Engineering Inc - Riverside CA,20220326,241.27,8083803-01
7870787960478,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8081778-01
8870829989292,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8086871-01
7870784250991,620962,K And N Engineering Inc - Riverside CA,20220326,58.21,8081606-01
9870830280079,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8086950-01
8870815820241,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8084437-01
7870775561656,620962,K And N Engineering Inc - Riverside CA,20220326,11.1,8080663-01
9870831663091,620962,K And N Engineering Inc - Riverside CA,20220326,5.68,8087651-01
8870805515304,620962,K And N Engineering Inc - Riverside CA,20220326,5.39,8084334-01
9870830247139,620962,K And N Engineering Inc - Riverside CA,20220326,39.83,8086965-01
8870815959439,620962,K And N Engineering Inc - Riverside CA,20220326,6.4,8084539-01
8870790858595,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8082771-01
8870829459323,620962,K And N Engineering Inc - Riverside CA,20220326,5.01,8086523-01
9870842736961,620962,K And N Engineering Inc - Riverside CA,20220326,4.78,8088155-01
7870789433325,620962,K And N Engineering Inc - Riverside CA,20220326,23.8,8081976-01
9870831704239,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8087617-01
9870830396713,620962,K And N Engineering Inc - Riverside CA,20220326,31.43,8087049-01
9870854704787,620962,K And N Engineering Inc - Riverside CA,20220326,58.21,8089127-01
8870792532293,620962,K And N Engineering Inc - Riverside CA,20220326,32.37,8083375-01
9870831834783,620962,K And N Engineering Inc - Riverside CA,20220326,2.14,8087737-01
9870844215739,620962,K And N Engineering Inc - Riverside CA,20220326,31.53,8088892-01
9870831808321,620962,K And N Engineering Inc - Riverside CA,20220326,5.68,8087932-01
8870839580747,620962,K And N Engineering Inc - Riverside CA,20220326,44.2,8086931-01
9870832054818,620962,K And N Engineering Inc - Riverside CA,20220326,6.32,8087865-01
8870817789012,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8085703-01
9870854548307,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8089018-01
